epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,128.752,1.23221,1.09831,1.24444,0.44826,0.50272,0.41334,0.19972,1.79115,1.84255,1.77115,0.00177275,0.00177275,0.00177275
57,131.047,1.20698,1.08395,1.23553,0.54688,0.54405,0.46573,0.22468,1.71422,1.7164,1.71128,0.0017668,0.0017668,0.0017668
58,133.233,1.20866,1.08784,1.23147,0.49776,0.54455,0.43909,0.21874,1.7379,1.72707,1.73813,0.00176085,0.00176085,0.00176085
59,135.402,1.1449,1.03624,1.18939,0.53413,0.48885,0.42863,0.21557,1.76923,1.75288,1.74992,0.0017549,0.0017549,0.0017549
60,137.539,1.15144,1.03891,1.18811,0.52066,0.51012,0.42347,0.21262,1.76971,1.68204,1.77961,0.00174895,0.00174895,0.00174895
61,139.607,1.13202,1.03042,1.20412,0.48599,0.51894,0.40198,0.19961,1.77869,1.68677,1.80197,0.001743,0.001743,0.001743
62,141.844,1.12519,1.00709,1.197,0.46946,0.48667,0.37741,0.18741,1.80131,1.77212,1.83912,0.00173705,0.00173705,0.00173705
63,144.073,1.12793,1.01532,1.19174,0.53727,0.44777,0.41383,0.21315,1.76458,1.69589,1.79762,0.0017311,0.0017311,0.0017311
64,146.237,1.14437,0.99008,1.18503,0.58043,0.48781,0.44747,0.2143,1.80812,1.62209,1.7954,0.00172515,0.00172515,0.00172515
65,148.327,1.15987,1.01213,1.1923,0.60626,0.44718,0.43347,0.21768,1.82481,1.68498,1.82864,0.0017192,0.0017192,0.0017192
66,150.442,1.1176,0.99934,1.1797,0.53324,0.48704,0.45611,0.22666,1.80431,1.63395,1.81936,0.00171325,0.00171325,0.00171325
67,152.573,1.13996,1.0047,1.1889,0.61898,0.46301,0.45095,0.22384,1.79863,1.61698,1.78995,0.0017073,0.0017073,0.0017073
68,154.694,1.1016,1.0068,1.18992,0.48736,0.47564,0.4143,0.19493,1.83803,1.6508,1.83984,0.00170135,0.00170135,0.00170135
69,156.821,1.17359,1.00484,1.17498,0.57796,0.5159,0.50741,0.22447,1.82527,1.57833,1.84162,0.0016954,0.0016954,0.0016954
70,159.068,1.07912,0.95808,1.15426,0.52088,0.54249,0.48184,0.21973,1.78576,1.59504,1.81303,0.00168945,0.00168945,0.00168945
71,161.266,1.12703,0.95664,1.16196,0.60019,0.48949,0.47676,0.22634,1.77992,1.6289,1.80991,0.0016835,0.0016835,0.0016835
72,163.467,1.12333,0.97842,1.16644,0.504,0.54135,0.47738,0.21863,1.82241,1.59296,1.83376,0.00167755,0.00167755,0.00167755
73,165.581,1.10869,0.97068,1.16428,0.66041,0.46075,0.48605,0.22858,1.8308,1.61575,1.8472,0.0016716,0.0016716,0.0016716
74,167.68,1.12013,0.98007,1.16734,0.53422,0.56943,0.49167,0.22677,1.7877,1.61737,1.78918,0.00166565,0.00166565,0.00166565
75,169.792,1.11859,0.97664,1.17712,0.58383,0.60126,0.52926,0.24297,1.79438,1.53844,1.80571,0.0016597,0.0016597,0.0016597
76,171.894,1.07356,0.93042,1.14402,0.61497,0.51612,0.51786,0.23994,1.77054,1.61348,1.80004,0.00165375,0.00165375,0.00165375
77,173.98,1.07788,0.90843,1.12883,0.55819,0.59993,0.51419,0.25241,1.76178,1.53107,1.7888,0.0016478,0.0016478,0.0016478
78,176.138,1.1084,0.96234,1.18623,0.51913,0.53284,0.48519,0.21993,1.83103,1.61394,1.86055,0.00164185,0.00164185,0.00164185
79,178.259,1.10993,0.93635,1.15439,0.50978,0.58653,0.49926,0.22385,1.81368,1.58836,1.8277,0.0016359,0.0016359,0.0016359
80,180.463,1.10662,0.92601,1.14868,0.51354,0.53478,0.47165,0.22879,1.79707,1.55875,1.81003,0.00162995,0.00162995,0.00162995
81,182.58,1.0321,0.92599,1.13638,0.57251,0.5529,0.47494,0.23558,1.78648,1.48704,1.797,0.001624,0.001624,0.001624
82,184.69,1.06394,0.91068,1.13363,0.55184,0.49749,0.46239,0.22351,1.78971,1.6038,1.78391,0.00161805,0.00161805,0.00161805
83,186.857,1.07012,0.90284,1.14794,0.47053,0.53213,0.43912,0.22231,1.79985,1.66495,1.82342,0.0016121,0.0016121,0.0016121
84,189.211,1.04884,0.89245,1.12973,0.47086,0.57972,0.45359,0.22598,1.794,1.61056,1.83105,0.00160615,0.00160615,0.00160615
85,191.377,1.08009,0.90045,1.124,0.52346,0.52995,0.46867,0.22869,1.77172,1.55419,1.7685,0.0016002,0.0016002,0.0016002
86,193.47,1.06762,0.91138,1.14899,0.54082,0.52391,0.49307,0.22032,1.77022,1.59172,1.80832,0.00159425,0.00159425,0.00159425
87,195.633,1.04398,0.90146,1.13228,0.48285,0.45164,0.43237,0.21795,1.80109,1.57006,1.84077,0.0015883,0.0015883,0.0015883
88,197.745,1.07614,0.88525,1.12484,0.4273,0.56357,0.45349,0.22703,1.79167,1.56296,1.807,0.00158235,0.00158235,0.00158235
89,199.784,1.05112,0.89611,1.14058,0.56358,0.51969,0.47424,0.23062,1.79506,1.50934,1.81615,0.0015764,0.0015764,0.0015764
90,201.873,1.0653,0.91158,1.1434,0.53026,0.53472,0.46153,0.23453,1.77054,1.51911,1.82163,0.00157045,0.00157045,0.00157045
91,203.916,1.0959,0.91059,1.15536,0.4885,0.56613,0.47783,0.22722,1.76506,1.5477,1.81177,0.0015645,0.0015645,0.0015645
92,205.99,1.05314,0.90534,1.14952,0.57718,0.47648,0.46615,0.20308,1.83727,1.62639,1.86196,0.00155855,0.00155855,0.00155855
93,208.191,1.01706,0.87687,1.11637,0.54443,0.46114,0.46131,0.21233,1.82749,1.57768,1.83012,0.0015526,0.0015526,0.0015526
94,210.467,1.03867,0.88298,1.12791,0.52602,0.46781,0.44815,0.21735,1.79387,1.57649,1.82944,0.00154665,0.00154665,0.00154665
95,212.915,1.04943,0.87833,1.12372,0.59053,0.45722,0.43616,0.21401,1.81339,1.5961,1.83853,0.0015407,0.0015407,0.0015407
96,215.216,1.06833,0.88247,1.13497,0.55298,0.45132,0.44398,0.22703,1.78479,1.57231,1.83492,0.00153475,0.00153475,0.00153475
97,217.407,1.01,0.84281,1.10999,0.64913,0.47386,0.45379,0.23108,1.79403,1.58877,1.84697,0.0015288,0.0015288,0.0015288
98,219.563,1.01493,0.87655,1.12056,0.65116,0.49186,0.48352,0.2384,1.78945,1.54453,1.81481,0.00152285,0.00152285,0.00152285
99,221.703,0.9957,0.86549,1.11903,0.61205,0.49473,0.46653,0.23363,1.77989,1.52891,1.81789,0.0015169,0.0015169,0.0015169
100,223.846,1.0153,0.83615,1.11553,0.63025,0.48461,0.46766,0.23192,1.78706,1.54008,1.82045,0.00151095,0.00151095,0.00151095
101,225.994,1.02597,0.86211,1.11589,0.57769,0.4912,0.48387,0.23313,1.80823,1.53354,1.82963,0.001505,0.001505,0.001505
102,228.161,0.99141,0.82757,1.0996,0.53461,0.53819,0.47973,0.23233,1.74414,1.45674,1.75779,0.00149905,0.00149905,0.00149905
103,230.263,1.03106,0.88336,1.13238,0.60323,0.48596,0.4902,0.21368,1.83486,1.58044,1.86027,0.0014931,0.0014931,0.0014931
104,232.386,1.02855,0.853,1.13976,0.636,0.51409,0.50879,0.22974,1.77751,1.57053,1.81634,0.00148715,0.00148715,0.00148715
105,234.457,0.9867,0.86281,1.12939,0.6309,0.48776,0.51436,0.22468,1.80147,1.5669,1.827,0.0014812,0.0014812,0.0014812
106,236.56,1.00032,0.86957,1.12621,0.47971,0.56748,0.45204,0.20268,1.81609,1.70517,1.85733,0.00147525,0.00147525,0.00147525
107,238.816,0.98676,0.85293,1.12409,0.54958,0.49993,0.46902,0.20957,1.80408,1.67298,1.88828,0.0014693,0.0014693,0.0014693
108,241.074,1.00429,0.81672,1.084,0.45768,0.57464,0.47495,0.22058,1.85529,1.62753,1.953,0.00146335,0.00146335,0.00146335
109,243.326,0.98665,0.82226,1.10388,0.61427,0.53793,0.49794,0.22323,1.84283,1.54684,1.92764,0.0014574,0.0014574,0.0014574
110,245.572,0.98948,0.82877,1.10689,0.5755,0.54945,0.50034,0.23326,1.82274,1.46427,1.87349,0.00145145,0.00145145,0.00145145
111,247.834,0.97814,0.83513,1.10661,0.5703,0.46039,0.4249,0.20178,1.86398,1.58708,1.87666,0.0014455,0.0014455,0.0014455
112,250.079,1.00403,0.83832,1.11849,0.57348,0.50207,0.45772,0.20633,1.82527,1.54423,1.86342,0.00143955,0.00143955,0.00143955
113,252.305,0.97622,0.8208,1.10605,0.60654,0.51365,0.4753,0.22427,1.81096,1.47633,1.86639,0.0014336,0.0014336,0.0014336
114,254.598,0.97158,0.81542,1.08167,0.55557,0.49197,0.45038,0.2187,1.8186,1.47548,1.88713,0.00142765,0.00142765,0.00142765
115,257.051,0.93208,0.79177,1.08045,0.57777,0.47509,0.46504,0.22233,1.83833,1.52993,1.90565,0.0014217,0.0014217,0.0014217
116,259.403,0.95184,0.81188,1.09231,0.55054,0.51542,0.50235,0.22704,1.85668,1.50518,1.92382,0.00141575,0.00141575,0.00141575
117,261.744,0.997,0.80559,1.08395,0.52532,0.52748,0.494,0.23119,1.85112,1.50216,1.92629,0.0014098,0.0014098,0.0014098
118,264.109,0.93378,0.78388,1.08446,0.45135,0.55441,0.45296,0.2208,1.87055,1.49792,1.92493,0.00140385,0.00140385,0.00140385
119,266.369,0.95998,0.81654,1.09842,0.58785,0.47592,0.46346,0.22548,1.83302,1.48437,1.85515,0.0013979,0.0013979,0.0013979
120,268.619,1.02835,0.81725,1.10464,0.60074,0.51265,0.48282,0.22925,1.81652,1.47511,1.83306,0.00139195,0.00139195,0.00139195
121,270.859,0.95608,0.79886,1.09744,0.61331,0.50835,0.48675,0.23066,1.8352,1.44637,1.85794,0.001386,0.001386,0.001386
122,273.144,0.95578,0.80451,1.10467,0.64526,0.50069,0.50594,0.23395,1.81118,1.41121,1.85496,0.00138005,0.00138005,0.00138005
123,275.392,0.96151,0.7999,1.0878,0.5794,0.51712,0.48865,0.23197,1.81507,1.46123,1.89549,0.0013741,0.0013741,0.0013741
124,277.549,0.98024,0.79726,1.08586,0.50928,0.52776,0.44889,0.217,1.81906,1.4425,1.88597,0.00136815,0.00136815,0.00136815
125,279.877,0.9778,0.78609,1.08744,0.50609,0.52594,0.43392,0.20855,1.85632,1.47227,1.90427,0.0013622,0.0013622,0.0013622
126,282.143,0.95057,0.76512,1.07512,0.52248,0.52379,0.45953,0.22093,1.8018,1.41485,1.84819,0.00135625,0.00135625,0.00135625
127,284.368,0.91215,0.77738,1.08785,0.62557,0.51066,0.50093,0.22806,1.83016,1.43245,1.89181,0.0013503,0.0013503,0.0013503
128,286.627,0.95021,0.76224,1.06868,0.59747,0.58962,0.50885,0.23254,1.82912,1.45105,1.87875,0.00134435,0.00134435,0.00134435
129,288.77,0.94782,0.78095,1.08141,0.56282,0.59949,0.49408,0.23776,1.83111,1.45885,1.90629,0.0013384,0.0013384,0.0013384
130,290.942,0.95255,0.78994,1.09718,0.57038,0.55948,0.50873,0.22843,1.82656,1.45581,1.90525,0.00133245,0.00133245,0.00133245
