epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,236.879,1.98591,2.19107,2.05945,0.67564,0.26269,0.2464,0.07516,2.29838,2.44885,2.46663,0.007327,0.007327,0.007327
83,239.535,2.03323,2.21523,2.0816,0.58909,0.22233,0.17911,0.05966,2.21216,2.68236,2.38749,0.007294,0.007294,0.007294
84,242.087,1.98688,2.26312,2.06131,0.5094,0.22259,0.16445,0.04963,2.30964,2.88246,2.49376,0.007261,0.007261,0.007261
85,244.644,2.00257,2.25151,2.0404,0.54268,0.23654,0.16831,0.05558,2.19487,2.87707,2.33521,0.007228,0.007228,0.007228
86,247.181,2.0238,2.22184,2.0482,0.21014,0.26091,0.1672,0.05695,2.229,2.58271,2.33582,0.007195,0.007195,0.007195
87,249.783,2.01908,2.21519,2.04209,0.56852,0.23745,0.17693,0.05829,2.19742,2.68544,2.38503,0.007162,0.007162,0.007162
88,252.534,1.9709,2.19994,2.03224,0.58138,0.2629,0.21333,0.06407,2.25866,2.83766,2.41355,0.007129,0.007129,0.007129
89,255.059,1.98415,2.16869,2.03811,0.21245,0.26888,0.22766,0.07282,2.17495,2.44486,2.33197,0.007096,0.007096,0.007096
90,257.594,1.99683,2.14432,2.04445,0.68197,0.28825,0.2572,0.09421,2.0795,2.51346,2.26381,0.007063,0.007063,0.007063
91,260.163,1.97164,2.13272,2.01098,0.60399,0.21046,0.20295,0.06664,2.273,2.31601,2.45141,0.00703,0.00703,0.00703
92,262.78,2.00011,2.21861,2.06665,0.27742,0.38887,0.27468,0.09577,2.23278,2.48559,2.32566,0.006997,0.006997,0.006997
93,265.419,1.98924,2.1962,2.0557,0.60323,0.22993,0.20996,0.07271,2.375,2.37889,2.46907,0.006964,0.006964,0.006964
94,268.031,1.97723,2.15681,2.0558,0.60389,0.25523,0.23645,0.08085,2.29371,2.47582,2.38532,0.006931,0.006931,0.006931
95,270.688,1.99175,2.15423,2.04497,0.59544,0.25876,0.21856,0.06238,2.20206,2.56229,2.33101,0.006898,0.006898,0.006898
96,273.316,1.97627,2.17577,2.05099,0.58229,0.26101,0.24092,0.0864,2.21982,2.31648,2.33829,0.006865,0.006865,0.006865
97,275.94,1.96645,2.10157,1.99937,0.57143,0.23165,0.19455,0.06134,2.25092,2.40123,2.38163,0.006832,0.006832,0.006832
98,278.584,2.00077,2.14511,2.04133,0.57,0.24869,0.21948,0.07265,2.16248,2.47998,2.30896,0.006799,0.006799,0.006799
99,281.406,1.96228,2.0824,1.99944,0.67534,0.27219,0.2617,0.09407,2.14302,2.35129,2.2549,0.006766,0.006766,0.006766
100,283.998,1.96462,2.05809,1.97722,0.61293,0.28504,0.25922,0.09304,2.19978,2.36184,2.31473,0.006733,0.006733,0.006733
101,286.537,1.95931,2.12053,2.03076,0.63679,0.22901,0.23979,0.08261,2.2751,2.56992,2.38629,0.0067,0.0067,0.0067
102,289.141,1.95136,2.08544,1.99935,0.30688,0.29936,0.22694,0.07625,2.23354,2.44612,2.3825,0.006667,0.006667,0.006667
103,291.807,1.97775,2.11727,1.99671,0.61249,0.2464,0.22326,0.07791,2.21012,2.62666,2.35611,0.006634,0.006634,0.006634
104,294.489,1.94521,2.13008,2.0421,0.60931,0.23715,0.21726,0.0655,2.1966,2.59893,2.34581,0.006601,0.006601,0.006601
105,297.144,1.97316,2.11982,2.0155,0.62824,0.22193,0.22476,0.07644,2.22046,2.38816,2.32386,0.006568,0.006568,0.006568
106,299.833,1.98213,2.12738,2.04944,0.63077,0.29752,0.25463,0.09177,2.17713,2.28731,2.26327,0.006535,0.006535,0.006535
107,302.464,1.94013,2.13688,2.04268,0.61991,0.29116,0.26418,0.09637,2.13427,2.41689,2.23684,0.006502,0.006502,0.006502
108,305.095,1.94576,2.06696,1.98343,0.21442,0.33697,0.22085,0.07819,2.15508,2.53956,2.26535,0.006469,0.006469,0.006469
109,307.623,1.9553,2.05029,1.98089,0.61235,0.25094,0.24472,0.10049,2.18393,2.49295,2.307,0.006436,0.006436,0.006436
110,310.506,1.95093,2.03354,1.96285,0.66703,0.26482,0.27029,0.1061,2.1592,2.52344,2.26925,0.006403,0.006403,0.006403
111,313.281,1.96352,2.07529,1.99157,0.68709,0.30459,0.25275,0.07824,2.25077,2.48827,2.36554,0.00637,0.00637,0.00637
112,315.896,1.97043,2.04645,1.99881,0.69607,0.2582,0.27679,0.10463,2.15054,2.30895,2.24982,0.006337,0.006337,0.006337
113,318.564,1.93601,2.05472,1.97965,0.57684,0.3241,0.27926,0.0953,2.18642,2.38732,2.28883,0.006304,0.006304,0.006304
114,321.164,1.96222,2.08308,1.99147,0.52635,0.27608,0.20695,0.0689,2.22096,2.49208,2.31849,0.006271,0.006271,0.006271
115,323.765,1.88004,1.96176,1.94106,0.62036,0.24199,0.2194,0.07259,2.27679,2.27832,2.39435,0.006238,0.006238,0.006238
116,326.372,1.93942,1.98815,1.94221,0.661,0.2659,0.23741,0.08061,2.2846,2.27778,2.43018,0.006205,0.006205,0.006205
117,328.937,1.94133,2.03601,2.00587,0.62337,0.25017,0.21621,0.06804,2.37394,2.50034,2.53419,0.006172,0.006172,0.006172
118,331.543,1.92395,2,1.99749,0.68226,0.31558,0.28704,0.10091,2.17927,2.39904,2.33646,0.006139,0.006139,0.006139
119,334.198,1.95374,2.03641,2.01186,0.69364,0.24104,0.27464,0.08404,2.26819,2.3741,2.39073,0.006106,0.006106,0.006106
120,336.812,1.95391,2.00683,1.97971,0.31715,0.27357,0.26733,0.09929,2.15191,2.44013,2.24799,0.006073,0.006073,0.006073
121,339.553,1.93326,2.03188,1.9996,0.61926,0.26083,0.23175,0.06818,2.31477,2.50263,2.45636,0.00604,0.00604,0.00604
